timestamp,Real,Prediccion,Señal,Movimiento Real
2025-01-01 08:45:00,2.095e-05,2.1639380819797518e-05,1,-1
2025-01-01 09:00:00,2.088e-05,2.1591673700213435e-05,1,-1
2025-01-01 09:15:00,2.0790000000000003e-05,2.1524693816900257e-05,1,-1
2025-01-01 09:30:00,2.077e-05,2.1445535885095598e-05,1,-1
2025-01-01 09:45:00,2.085e-05,2.1366969898939136e-05,1,1
2025-01-01 10:00:00,2.085e-05,2.1363943576812745e-05,1,-1
2025-01-01 10:15:00,2.088e-05,2.1374441979527476e-05,1,1
2025-01-01 10:30:00,2.088e-05,2.139187107920647e-05,1,-1
2025-01-01 10:45:00,2.085e-05,2.1404606543183328e-05,1,-1
2025-01-01 11:00:00,2.083e-05,2.1393448367714884e-05,1,-1
2025-01-01 11:15:00,2.091e-05,2.1366083213686943e-05,1,1
2025-01-01 11:30:00,2.0990000000000004e-05,2.1399386322498324e-05,1,1
2025-01-01 11:45:00,2.098e-05,2.1474923520088197e-05,1,-1
2025-01-01 12:00:00,2.1000000000000002e-05,2.1546740092635156e-05,1,1
2025-01-01 12:15:00,2.11e-05,2.1568343642354014e-05,1,1
2025-01-01 12:30:00,2.108e-05,2.162405066072941e-05,1,-1
2025-01-01 12:45:00,2.108e-05,2.166139873147011e-05,1,-1
2025-01-01 13:00:00,2.104e-05,2.1670111431479455e-05,1,-1
2025-01-01 13:15:00,2.103e-05,2.165854629337788e-05,1,-1
2025-01-01 13:30:00,2.1059999999999998e-05,2.163368827581406e-05,1,1
2025-01-01 13:45:00,2.1120000000000004e-05,2.1628570412397387e-05,1,1
2025-01-01 14:00:00,2.122e-05,2.165551997125149e-05,1,1
2025-01-01 14:15:00,2.109e-05,2.173248277127743e-05,1,-1
2025-01-01 14:30:00,2.1059999999999998e-05,2.172991274058819e-05,1,-1
2025-01-01 14:45:00,2.1120000000000004e-05,2.168809301376343e-05,1,1
2025-01-01 15:00:00,2.11e-05,2.167780672490597e-05,1,-1
2025-01-01 15:15:00,2.1130000000000003e-05,2.1704819177985195e-05,1,1
2025-01-01 15:30:00,2.123e-05,2.1708919634819034e-05,1,1
2025-01-01 15:45:00,2.13e-05,2.176414446413517e-05,1,1
2025-01-01 16:00:00,2.1269999999999998e-05,2.184190392434597e-05,1,-1
2025-01-01 16:15:00,2.1340000000000002e-05,2.1889772595763207e-05,1,1
2025-01-01 16:30:00,2.124e-05,2.1907497668266296e-05,1,-1
2025-01-01 16:45:00,2.126e-05,2.1915937826633456e-05,1,1
2025-01-01 17:00:00,2.118e-05,2.187520333349705e-05,1,-1
2025-01-01 17:15:00,2.119e-05,2.1842524234056476e-05,1,1
2025-01-01 17:30:00,2.125e-05,2.1798603100180626e-05,1,1
2025-01-01 17:45:00,2.13e-05,2.1805151498913768e-05,1,1
2025-01-01 18:00:00,2.126e-05,2.184453314960003e-05,1,-1
2025-01-01 18:15:00,2.131e-05,2.1863651760816575e-05,1,1
2025-01-01 18:30:00,2.1470000000000003e-05,2.1877543985247612e-05,1,1
2025-01-01 18:45:00,2.156e-05,2.19421030575037e-05,1,1
2025-01-01 19:00:00,2.156e-05,2.2023124384880067e-05,1,-1
2025-01-01 19:15:00,2.153e-05,2.2085150423049928e-05,1,-1
2025-01-01 19:30:00,2.157e-05,2.209409126877785e-05,1,1
2025-01-01 19:45:00,2.157e-05,2.2088100285530093e-05,1,-1
2025-01-01 20:00:00,2.165e-05,2.2112482280135157e-05,1,1
2025-01-01 20:15:00,2.165e-05,2.213654980361462e-05,1,-1
2025-01-01 20:30:00,2.163e-05,2.217187909305096e-05,1,-1
2025-01-01 20:45:00,2.1670000000000004e-05,2.2174658771157265e-05,1,1
2025-01-01 21:00:00,2.1609999999999998e-05,2.2177461880445482e-05,1,-1
2025-01-01 21:15:00,2.1680000000000002e-05,2.2171446232795718e-05,1,1
2025-01-01 21:30:00,2.165e-05,2.2161885077357294e-05,1,-1
2025-01-01 21:45:00,2.165e-05,2.216561556816101e-05,1,-1
2025-01-01 22:00:00,2.166e-05,2.2163024572730065e-05,1,1
2025-01-01 22:15:00,2.16e-05,2.2193269295692444e-05,1,-1
2025-01-01 22:30:00,2.164e-05,2.217583279669285e-05,1,1
2025-01-01 22:45:00,2.164e-05,2.216716695904732e-05,1,-1
2025-01-01 23:00:00,2.169e-05,2.2186986039280893e-05,1,1
2025-01-01 23:15:00,2.1680000000000002e-05,2.2228850162029268e-05,1,-1
2025-01-01 23:30:00,2.1670000000000004e-05,2.2259186143279076e-05,1,-1
2025-01-01 23:45:00,2.17e-05,2.227498245954514e-05,1,1
2025-01-02 00:00:00,2.1670000000000004e-05,2.228218569815159e-05,1,-1
2025-01-02 00:15:00,2.204e-05,2.2287502110004428e-05,1,1
2025-01-02 00:30:00,2.207e-05,2.2373408222198487e-05,1,1
2025-01-02 00:45:00,2.197e-05,2.2519250064492228e-05,1,-1
2025-01-02 01:00:00,2.2010000000000004e-05,2.2533629410862923e-05,1,1
2025-01-02 01:15:00,2.191e-05,2.250933620810509e-05,1,-1
2025-01-02 01:30:00,2.193e-05,2.2467211875915528e-05,1,1
2025-01-02 01:45:00,2.19e-05,2.241841212332249e-05,1,-1
2025-01-02 02:00:00,2.192e-05,2.2387079700231553e-05,1,1
2025-01-02 02:15:00,2.191e-05,2.2375943722724917e-05,1,-1
2025-01-02 02:30:00,2.1889999999999995e-05,2.2371706378459933e-05,1,-1
2025-01-02 02:45:00,2.204e-05,2.236288885474205e-05,1,1
2025-01-02 03:00:00,2.194e-05,2.2387337443232537e-05,1,-1
2025-01-02 03:15:00,2.197e-05,2.2410616939067843e-05,1,1
2025-01-02 03:30:00,2.193e-05,2.2401716789603236e-05,1,-1
2025-01-02 03:45:00,2.191e-05,2.2395111662745478e-05,1,-1
2025-01-02 04:00:00,2.198e-05,2.237853225171566e-05,1,1
2025-01-02 04:15:00,2.2010000000000004e-05,2.2388892533779147e-05,1,1
2025-01-02 04:30:00,2.224e-05,2.242453629434109e-05,1,1
2025-01-02 04:45:00,2.226e-05,2.2499348358511927e-05,1,1
2025-01-02 05:00:00,2.217e-05,2.2620108970403675e-05,1,-1
2025-01-02 05:15:00,2.2219999999999997e-05,2.264492012560368e-05,1,1
2025-01-02 05:30:00,2.221e-05,2.2634598073363305e-05,1,-1
2025-01-02 05:45:00,2.211e-05,2.262975151836872e-05,1,-1
2025-01-02 06:00:00,2.207e-05,2.259796773672104e-05,1,-1
2025-01-02 06:15:00,2.2010000000000004e-05,2.2544660564661028e-05,1,-1
2025-01-02 06:30:00,2.206e-05,2.2503779318332673e-05,1,1
2025-01-02 06:45:00,2.212e-05,2.2469435371756555e-05,1,1
2025-01-02 07:00:00,2.212e-05,2.2489510961771013e-05,1,-1
2025-01-02 07:15:00,2.216e-05,2.2516358163356784e-05,1,1
2025-01-02 07:30:00,2.221e-05,2.2544714826345444e-05,1,1
2025-01-02 07:45:00,2.219e-05,2.2580074946284297e-05,1,-1
2025-01-02 08:00:00,2.225e-05,2.2609584670066837e-05,1,1
2025-01-02 08:15:00,2.2219999999999997e-05,2.2631593949198724e-05,1,-1
2025-01-02 08:30:00,2.2360000000000003e-05,2.2641999860405922e-05,1,1
2025-01-02 08:45:00,2.2429999999999997e-05,2.2665003114938738e-05,1,1
2025-01-02 09:00:00,2.242e-05,2.2753718502521518e-05,1,-1
2025-01-02 09:15:00,2.2490000000000003e-05,2.2794494925141335e-05,1,1
